country,latitude,longitude,"2009","2010","2011"
United States,37.09024,-95.712891,7961,7767,9472
Ukraine,48.379433,31.16558,3596,2913,2202
China,35.86166,104.195397,2107,1731,2092
Germany,51.165691,10.451526,1675,1509,1798
Russia,61.52401,105.318756,1298,1375,805
Netherlands,52.132633,5.291266,1267,1200,611
Czech Republic,49.817492,15.472962,1242,639,602
Latvia,56.879635,24.603189,686,606,528
United Kingdom,55.378051,-3.435973,661,422,520
France,46.227638,2.213749,646,394,474
Canada,56.130366,-106.346771,631,377,381
Moldova,47.411631,28.369885,623,364,343
South Korea,35.907757,127.766922,468,301,299
Turkey,38.963745,35.243322,453,213,259
Brazil,-14.235004,-51.92528,429,205,254
Poland,51.919438,19.145136,232,192,224
Italy,41.87194,12.56738,227,185,216
Spain,40.463667,-3.74922,177,176,213
Luxembourg,49.815273,6.129583,167,165,187
Sweden,60.128161,18.643501,159,154,181
Austria,47.516231,14.550072,145,153,154
Malaysia,4.210484,101.975766,138,145,153
Australia,-25.274398,133.775136,134,102,145
British Virgin Islands,18.420695,-64.639968,129,92,119
Israel,31.046051,34.851612,123,84,113
Romania,45.943161,24.96676,114,79,112
Taiwan,23.69781,120.960515,109,74,99
India,20.593684,78.96288,105,70,94
Singapore,1.352083,103.819836,94,66,93
Hong Kong,22.396428,114.109497,67,51,81
Hungary,47.162494,19.503304,60,48,79
Panama,8.537981,-80.782127,55,41,67
Japan,36.204824,138.252924,49,39,60
Thailand,15.870032,100.992541,45,38,52
Bulgaria,42.733883,25.48583,40,37,48
Denmark,56.26392,9.501785,31,37,47
Argentina,-38.416097,-63.616672,31,35,46
Indonesia,-0.789275,113.921327,31,34,46
Mexico,23.634501,-102.552784,30,30,43
Colombia,4.570868,-74.297333,30,29,39
