Date	Source	Headline	URL	Country	Reach
27-May-19	Phys.org	You could be unknowingly loading malicious content from 'trusted' sites	https://phys.org/news/2019-05-unknowingly-malicious-content-sites.html	US	3629276
21-May-19	iTWire	CSIRO team says top websites could host malicious activity	https://www.itwire.com/security/csiro-team-says-top-websites-could-host-malicious-activity.html	AU	28120
21-May-19	Brinkwire	Half of popular websites vulnerable: study	http://en.brinkwire.com/news/half-of-popular-websites-vulnerable-study/	US	24423
20-May-19	Australian Health Information Technology	Weekly Australian Health IT Links – 20th May, 2019.	https://aushealthit.blogspot.com/2019/05/weekly-australian-health-it-links-20th.html	AU	0
16-May-19	Open Gov Asia	How popular websites are at risk of malicious activity	https://www.opengovasia.com/how-popular-websites-are-at-risk-of-malicious-activity/	SG	14567
15-May-19	Technology Decisions	Trusted websites not so trustworthy: Data61	https://www.technologydecisions.com.au/content/security/news/trusted-websites-not-so-trustworthy-data61-843041399	AU	5304
15-May-19	Which-50	Research Shows Popular Websites At Risk Of Hostile Activity	https://which-50.com/research-shows-popular-websites-at-risk-of-hostile-activity/	AU	N/A
15-May-19	Technology Decisions	Trusted websites not so trustworthy: Data61	https://www.technologydecisions.com.au/content/security/news/trusted-websites-not-so-trustworthy-data61-843041399	AU	N/A
15-May-19	Open Gov	How popular websites are at risk of malicious activity	https://www.opengovasia.com/how-popular-websites-are-at-risk-of-malicious-activity/	AU	N/A
14-May-19	East Coast Radio	Half of popular websites vulnerable: study	https://www.2ec.com.au/news/national-news/89184-half-of-popular-websites-vulnerable-study	AU	1109
14-May-19	Power FM SA	Half of popular websites vulnerable: study	https://www.powerfmsa.com.au/news/national-news/92179-half-of-popular-websites-vulnerable-study	AU	1116
14-May-19	5CS - Classic Hits	Half of popular websites vulnerable: study	https://www.5cs.com.au/news/current-events/87264-half-of-popular-websites-vulnerable-study	AU	56
14-May-19	96.5 Wave FM	Half of popular websites vulnerable: study	https://www.wavefm.com.au/news/national-news/140076-half-of-popular-websites-vulnerable-study	AU	3695
14-May-19	Hitz 93.9 FM Bundaberg	Half of popular websites vulnerable: study	https://www.hitz939.com.au/news/national-news/136332-half-of-popular-websites-vulnerable-study	AU	920
14-May-19	7BU 558AM Burnie	Half of popular websites vulnerable: study	https://www.7bu.com.au/news/national-news/90556-half-of-popular-websites-vulnerable-study	AU	369
14-May-19	Hot 100	Half of popular websites vulnerable: study	https://www.hot100fm.com.au/news/national-news/86015-half-of-popular-websites-vulnerable-study	AU	1025
